OBJECT_NAME,OBJECT_ID
SYNCOM 2 (A 26),1963-031A
SYNCOM 3,1964-047A
INTELSAT 1-F1,1965-028A
ATS 1,1966-110A
INTELSAT 2-F2,1967-001A
INTELSAT 2-F3,1967-026A
INTELSAT 2-F4,1967-094A
ATS 3,1967-111A
LES 6,1968-081D
OPS 0757 (TACSAT),1969-013A
ATS 5,1969-069A
SKYNET 1,1969-101A
INTELSAT 3-F6,1970-003A
"NATO 2A",1970-021A
INTELSAT 3-F7,1970-032A
"NATO 2B",1971-009A
OPS 9431 (DSCS 2-1),1971-095A
OPS 9432 (DSCS 2-2),1971-095B
INTELSAT 4-F3,1971-116A
INTELSAT 4-F4,1972-003A
OPS 1570,1972-010A
INTELSAT 4-F5,1972-041A
OPS 6063,1973-013A
ANIK A2 (TELESAT 2),1973-023A
OPS 6157,1973-040A
INTELSAT 4-F7,1973-058A
COSMOS 637,1974-017A
WESTAR 1,1974-022A
MOLNIYA 1-S,1974-060A
WESTAR 2,1974-075A
INTELSAT 4-F8,1974-093A
SKYNET 2B,1974-094A
SYMPHONIE 1,1974-101A
SMS 2,1975-011A
ANIK A3 (TELESAT-3),1975-038A
INTELSAT 4-F1,1975-042A
SYMPHONIE 2,1975-077A
INTELSAT 4A-F1,1975-091A
COSMOS 775,1975-097A
GOES 1 (SMS-C),1975-100A
SATCOM 1,1975-117A
OPS 3165,1975-118A
RADUGA 1,1975-123A
CTS,1976-004A
INTELSAT 4A-F2,1976-010A
MARISAT 1,1976-017A
LES 8,1976-023A
LES 9,1976-023B
"NATO 3A",1976-035A
COMSTAR 1,1976-042A
OPS 2112,1976-059A
PALAPA 1,1976-066A
COMSTAR 2,1976-073A
RADUGA 2,1976-092A
EKRAN 1,1976-107A
KIKU 2 (ETS 2),1977-014A
PALAPA 2,1977-018A
INTELSAT 4A-F4,1977-041A
GOES 2,1977-048A
HIMAWARI 1 (GMS 1),1977-065A
RADUGA 3,1977-071A
SIRIO,1977-080A
EKRAN 2,1977-092A
METEOSAT 1,1977-108A
INTELSAT 4A-F3,1978-002A
OPS 6391 (FLTSATCOM 1),1978-016A
INTELSAT 4A-F6,1978-035A
OPS 8790,1978-038A
YURI (BSE),1978-039A
OTS 2,1978-044A
GOES 3,1978-062A
COMSTAR 3,1978-068A
GEOS 2,1978-071A
RADUGA 4,1978-073A
ANIK B1 (TELESAT-4),1978-116A
EKRAN 3,1979-015A
RADUGA 5,1979-035A
GORIZONT 2,1979-062A
WESTAR 3,1979-072A
EKRAN 4,1979-087A
GORIZONT 3,1979-105A
OPS 6393 (FLTSATCOM 3),1980-004A
RADUGA 6,1980-016A
GOES 4,1980-074A
RADUGA 7,1980-081A
SBS 1,1980-091A
EKRAN 6,1980-104A
ESIAFI 1 (COMSTAR 4),1981-018A
RADUGA 8,1981-027A
GOES 5,1981-049A
APPLE,1981-057B
EKRAN 7,1981-061A
RADUGA 9,1981-069A
HIMAWARI 2 (GMS 2),1981-076A
SBS 2,1981-096A
RADUGA 10,1981-102A
SATCOM 3R,1981-114A
INTELSAT 503,1981-119A
SATCOM 4,1982-004A
EKRAN 8,1982-009A
WESTAR 4,1982-014A
INTELSAT 504,1982-017A
INSAT 1A,1982-031A
COSMOS 1366,1982-044A
WESTAR 5,1982-058A
ANIK D1 (TELESAT 6),1982-082A
EKRAN 9,1982-093A
GORIZONT 6,1982-103A
SATCOM C5,1982-105A
SBS 3,1982-110B
ANIK C3 (TELESAT-5),1982-110C
SAKURA 2A (CS-2A),1983-006A
RADUGA 12,1983-028A
SATCOM 1R,1983-030A
GOES 6,1983-041A
INTELSAT 506,1983-047A
"NAHUEL I2 (ANIK C2)",1983-059B
PALAPA B1,1983-059C
GALAXY 1,1983-065A
ARABSAT 1DR (TELSTAR 3A),1983-077A
INSAT 1B,1983-089B
SATCOM 2R,1983-094A
GALAXY 2,1983-098A
EKRAN 11,1983-100A
INTELSAT 507,1983-105A
YURI 2A (BS-2A),1984-005A
RADUGA 14,1984-016A
COSMOS 1540,1984-022A
COSMOS 1546,1984-031A
STTW-T2,1984-035A
GORIZONT 9,1984-041A
CHINASAT 5 (SPACENET 1),1984-049A
RADUGA 15,1984-063A
GORIZONT 10,1984-078A
HIMAWARI 3 (GMS 3),1984-080A
TELSTAR 302,1984-093D
GALAXY 3,1984-101A
SPACENET 2,1984-114A
GORIZONT 11,1985-007A
ARABSAT 1A,1985-015A
BRAZILSAT 1,1985-015B
COSMOS 1629,1985-016A
"NAHUEL I1 (ANIK C1)",1985-028B
GSTAR 1,1985-035A
TELECOM 1B,1985-035B
MORELOS 1,1985-048B
ARABSAT 1B,1985-048C
TELSTAR 303,1985-048D
INTELSAT 511,1985-055A
RADUGA 16,1985-070A
OPTUS A1 (AUSSAT 1),1985-076B
ASC 1,1985-076C
INTELSAT 512,1985-087A
USA 11,1985-092B
COSMOS 1700,1985-102A
RADUGA 17,1985-107A
MORELOS 2,1985-109B
OPTUS A2 (AUSSAT 2),1985-109C
SATCOM K2,1985-109D
SATCOM K1,1986-003B
STTW-1,1986-010A
BS-2B (YURI 2B),1986-016A
GSTAR 2,1986-026A
BRAZILSAT 2,1986-026B
COSMOS 1738,1986-027A
GORIZONT 12,1986-044A
GOES 7,1987-022A
AGILA 1 (PALAPA B2P),1987-029A
KIKU 5 (ETS 5),1987-070A
COSMOS 1888,1987-084A
COSMOS 1894,1987-091A
COSMOS 1897,1987-096A
RADUGA 21,1987-100A
STTW-2,1988-014A
SPACENET 3R,1988-018A
COSMOS 1940,1988-034A
PAS 1,1988-051C
INSAT 1C,1988-063A
COSMOS 1961,1988-066A
GORIZONT 16,1988-071A
GSTAR 3,1988-081A
SBS 5,1988-081B
CS 3B,1988-086A
TDRS 3,1988-091B
RADUGA 22,1988-095A
TDF 1,1988-098A
SKYNET 4B,1988-109A
STTW-3,1988-111A
GORIZONT 17,1989-004A
INTELSAT 515,1989-006A
JCSAT 1,1989-020A
TELE-X,1989-027A
RADUGA 23,1989-030A
SUPERBIRD A,1989-041A
DFS 1,1989-041B
GORIZONT 18,1989-052A
TVSAT 2,1989-062A
SIRIUS W (MARCOPOLO 1),1989-067A
USA 44,1989-069B
FLTSATCOM 8 (USA 46),1989-077A
GORIZONT 19,1989-081A
INTELSAT 602,1989-087A
RADUGA 24,1989-098A
COSMOS 2054,1989-101A
LEASAT 5,1990-002B
STTW-4,1990-011A
RADUGA 25,1990-016A
INTELSAT 603,1990-021A
ASIASAT 1,1990-030A
NEWSAT-1 (PALAPA B2R),1990-034A
INSAT 1D,1990-051A
GORIZONT 20,1990-054A
COSMOS 2085,1990-061A
DFS 2,1990-063B
THOR 1 (MARCOPOLO 2),1990-074A
SKYNET 4C,1990-079A
EUTE 2-F1,1990-079B
GALAXY 6,1990-091B
GORIZONT 21,1990-094A
SATCOM C1,1990-100A
GSTAR 4,1990-100B
GORIZONT 22,1990-102A
RADUGA 26,1990-112A
RADUGA 1-2,1990-116A
ITALSAT 1,1991-003A
COSMOS 2133,1991-010A
RADUGA 27,1991-014A
ANIK E2,1991-026A
SPACENET 4 (ASC 2),1991-028A
AURORA 2,1991-037A
TDRS 5,1991-054B
INTELSAT 605,1991-055A
COSMOS 2155,1991-064A
ANIK E1,1991-067A
INTELSAT 601,1991-075A
COSMOS 2172,1991-079A
EUTE 2-F3,1991-083A
USA 75,1991-080B
RADUGA 28,1991-087A
USA 78,1992-006A
SUPERBIRD B1,1992-010A
GALAXY 5,1992-013A
GORIZONT 25,1992-017A
TELECOM 2B,1992-021A
PALAPA B4,1992-027A
INSAT 2A,1992-041A
