OBJECT_NAME,OBJECT_ID
RELAY 1 (A-15),1962-068A
TELSTAR 2 (A-41),1963-013A
VELA 1,1963-039C
RELAY 2,1964-003A
ELEKTRON 1,1964-006A
ELEKTRON 3,1964-038A
OPS 3662 (VELA 3),1964-040A
OPS 3674 (VELA 4),1964-040B
LES 2,1965-034B
OPS 6577 (VELA 5),1965-058A
OPS 6564 (VELA 6),1965-058B
INTELSAT 2-F1,1966-096A
OPS 6638 (VELA 7),1967-040A
OPS 6679 (VELA 8),1967-040B
OV1-13,1968-026A
OV1-14,1968-026B
OV1-19,1969-025C
OPS 6909 (VELA 9),1969-046D
OPS 6911 (VELA 10),1969-046E
OPS 7033 (VELA 11),1970-027B
COSMOS 520,1972-072A
OPS 7724,1973-056A
COSMOS 606,1973-084A
MOLNIYA 2-9,1974-026A
MOLNIYA 2-10,1974-056A
COSMOS 706,1975-007A
MOLNIYA 1-29,1975-036A
MOLNIYA 2-14,1975-081A
MOLNIYA 1-32,1976-006A
COSMOS 862,1976-105A
MOLNIYA 1-36,1977-021A
ESA/GOES,1977-029A
COSMOS 917,1977-047A
COSMOS 931,1977-068A
MOLNIYA 3-8,1977-105A
MOLNIYA 1-40,1978-055A
COSMOS 1024,1978-066A
MOLNIYA 3-10,1978-095A
GORIZONT 1,1978-118A
AYAME 1 (ECS 1),1979-009A
COSMOS 1109,1979-058A
COSMOS 1124,1979-077A
SATCOM 3,1979-101A
AYAME 2 (ECS-2),1980-018A
COSMOS 1191,1980-057A
MOLNIYA 3-13,1980-063A
COSMOS 1217,1980-085A
COSMOS 1223,1980-095A
OPS 5805,1980-100A
MOLNIYA 1-49,1981-009A
KIKU 3 (ETS 4),1981-012A
COSMOS 1247,1981-016A
COSMOS 1261,1981-031A
CAT 3,1981-057C
DYNAMICS EXPLORER 1,1981-070A
COSMOS 1285,1981-071A
COSMOS 1305,1981-088A
COSMOS 1317,1981-108A
CAT 4,1981-122B
MOLNIYA 1-52,1981-123A
MOLNIYA 1-53,1982-015A
COSMOS 1341,1982-016A
COSMOS 1348,1982-029A
COSMOS 1367,1982-045A
COSMOS 1382,1982-064A
MOLNIYA 3-20,1983-015A
MOLNIYA 1-56,1983-019A
ASTRON,1983-020A
OV2-3,1965-108V
OSCAR 10,1983-058B
COSMOS 1481,1983-070A
STTW-T1,1984-008A
COSMOS 1541,1984-024A
COSMOS 1547,1984-033A
COSMOS 1581,1984-071A
CCE 1 (AMPTE),1984-088A
USA 4,1984-091A
COSMOS 1596,1984-096A
COSMOS 1604,1984-107A
MOLNIYA 1-63,1984-124A
MOLNIYA 3-24,1985-040A
COSMOS 1661,1985-049A
COSMOS 1675,1985-071A
COSMOS 1684,1985-084A
COSMOS 1687,1985-088A
COSMOS 1698,1985-098A
MOLNIYA 3-27,1985-117A
COSMOS 1729,1986-011A
VIKING,1986-019B
COSMOS 1761,1986-050A
COSMOS 1783,1986-075A
MOLNIYA 1-69,1986-089A
COSMOS 1806,1986-098A
MOLNIYA 3-31,1987-008A
USA 21,1987-015A
COSMOS 1851,1987-050A
COSMOS 1903,1987-105A
COSMOS 1922,1988-013A
MOLNIYA 1-71,1988-017A
COSMOS 1974,1988-092A
COSMOS 1977,1988-096A
MOLNIYA 1-75,1989-014A
HIPPARCOS,1989-062B
COSMOS 2050,1989-091A
COSMOS 2063,1990-026A
COSMOS 2076,1990-040A
COSMOS 2087,1990-064A
CRRES,1990-065A
MOLNIYA 1-80,1991-012A
MOLNIYA 3-40,1991-022A
MOLNIYA 1-81,1991-043A
MOLNIYA 3-41,1991-065A
STTW-5,1991-088A
GEOTAIL,1992-044A
MOLNIYA 3-42,1992-067A
COSMOS 2222,1992-081A
COSMOS 2232,1993-006A
ARASENE,1993-031B
MOLNIYA 1-86,1993-035A
MOLNIYA 1-87,1993-079A
VEP,1994-007B
SJ-4,1994-010A
STRV 1A,1994-034B
STRV 1B,1994-034C
COSMOS 2286,1994-048A
ETS 6,1994-056A
MOLNIYA 1-88,1994-081A
MOLNIYA 3-47,1995-042A
ISO,1995-062A
POLAR,1996-013A
CHINASAT 7,1996-048A
MAGION 5,1996-050B
INTERBALL AURORA,1996-050C
HALCA (MUSES B),1997-005A
COSMOS 2340,1997-015A
COSMOS 2342,1997-022A
MOLNIYA 1-90,1997-054A
MAQSAT H,1997-066A
MAQSAT B,1997-066B
TEAMSAT,1997-066C
EQUATOR S,1997-075B
COMETS,1998-011A
COSMOS 2351,1998-027A
MOLNIYA 1-91,1998-054A
MAQSAT/ARIANE 5,1998-059A
SEA LAUNCH DEMO,1999-014A
MOLNIYA 3-50,1999-036A
CXO,1999-040B
XMM,1999-066A
COSMOS 2368,1999-073A
FREGAT RB/CLUSTER 2,2000-015A
IMAGE,2000-017A
CLUSTER II-FM7,2000-041A
CLUSTER II-FM6,2000-041B
CLUSTER II-FM5,2000-045A
CLUSTER II-FM8,2000-045B
AMSAT OSCAR 40,2000-072B
STRV 1C,2000-072C
STRV 1D,2000-072D
LRE,2001-038A
MDS 1,2002-003A
DASH/VEP 3,2002-003B
INTEGRAL,2002-048A
DOUBLESTAR (TC-2),2004-029A
DELTA 4 DEMO SPACECRAFT,2004-050A
SLOSHSAT,2005-005C
MAQSAT/ARIANE 5,2005-005D
THEMIS A,2007-004A
THEMIS D,2007-004D
THEMIS E,2007-004E
SPIRALE A,2009-008C
SPIRALE B,2009-008D
EUTE W3B,2010-056A
MERIDIAN 3,2010-058A
MERIDIAN 4,2011-018A
SPEKTR R,2011-037A
TACSAT 4,2011-052A
RBSP A,2012-046A
RBSP B,2012-046B
MERIDIAN 6,2012-063A
MERIDIAN 7,2014-069A
MMS 1,2015-011A
