OBJECT_NAME,OBJECT_ID
VANGUARD 2,1959-001A
VANGUARD 3,1959-007A
EXPLORER 7,1959-009A
TIROS 1,1960-002B
TRANSIT 2A,1960-007A
SOLRAD 1 (GREB),1960-007B
COURIER 1B,1960-013A
EXPLORER 11,1961-013A
TRANSIT 4A,1961-015A
SOLRAD 3/INJUN 1,1961-015B
TIROS 3,1961-017A
TRANSIT 4B,1961-031A
TRAAC,1961-031B
TIROS 4,1962-002A
TIROS 5,1962-025A
FTV 3502,1962-039A
TIROS 6,1962-047A
ALOUETTE 1 (S-27),1962-049A
ANNA 1B,1962-060A
EXPLORER 16,1962-070A
HITCH HIKER 1,1963-025B
TRANSIT 5B-1,1963-038B
RADIATION SAT (5E 1),1963-038C
TRANSIT 5B-2,1963-049B
TRANSIT 5E 3,1963-049C
TIROS 8,1963-054A
GGSE 1 (GGRS),1964-001B
SECOR 1B,1964-001C
SOLRAD 7A,1964-001D
GREB,1964-001E
OPS 3367 A,1964-002B
OPS 3367 B,1964-002C
OPS 4412 (TRANSIT 9),1964-026A
OPS 4467 A,1964-031A
OPS 4467 B,1964-031B
EXPLORER 20,1964-051A
COSMOS 44,1964-053A
OPS 5798 (TRANSIT 5B-4),1964-063B
EXPLORER 22,1964-064A
CALSPHERE 1,1964-063C
CALSPHERE 2,1964-063E
EXPLORER 25 (INJUN-4),1964-076B
OPS 6582 (TRANSIT 5E-5),1964-083C
OPS 6582 (TRANSIT 5B-5),1964-083D
TIROS 9,1965-004A
SECOR 3,1965-016E
GGSE 2,1965-016B
OPS 4988 (GREB 6),1965-016A
PORCUPINE 1,1965-016H
SOLRAD 7B,1965-016D
GGSE 3,1965-016C
OSCAR 3,1965-016F
OPS 4682 (SNAPSHOT),1965-027A
SECOR 4 (EGRS 4),1965-027B
EXPLORER 27,1965-032A
OPS 8480 (TRANSIT 5B-6),1965-048A
TIROS 10,1965-051A
SECOR 5 (EGRS 5),1965-063A
DODECAPOLE 2,1965-065C
TEMPSAT 1,1965-065E
OPS 8464 (TRANSIT 5B-7),1965-065F
"NAVSPASUR ROD 1",1965-065G
CALSPHERE 4(A),1965-065H
COSMOS 80,1965-070A
COSMOS 81,1965-070B
COSMOS 82,1965-070C
COSMOS 83,1965-070D
COSMOS 84,1965-070E
PORCUPINE 2,1965-065J
OPS 8068,1965-072A
COSMOS 86,1965-073A
COSMOS 87,1965-073B
COSMOS 88,1965-073C
COSMOS 89,1965-073D
COSMOS 90,1965-073E
OV1-2,1965-078A
OV2-1,1965-082C
EXPLORER 29 (GEOS 1),1965-089A
EXPLORER 30,1965-093A
A-1 (ASTERIX),1965-096A
ALOUETTE 2,1965-098A
EXPLORER 31 (ISIS-X),1965-098B
FR 1,1965-101A
OPS 1509 (TRANSIT 10),1965-109A
OPS 1593 (TRANSIT 11),1966-005A
ESSA 1 (OT-3),1966-008A
DIAPASON (D1-A),1966-013A
ESSA 2 (OT-2),1966-016A
