OBJECT_NAME,OBJECT_ID
NTS 2,1977-053A
OPS 5111 (NAVSTAR 1),1978-020A
OPS 5112 (NAVSTAR 2),1978-047A
OPS 5113 (NAVSTAR 3),1978-093A
OPS 5114 (NAVSTAR 4),1978-112A
OPS 5117 (NAVSTAR 5),1980-011A
OPS 5118 (NAVSTAR 6),1980-032A
COSMOS 1413 (GLONASS),1982-100A
COSMOS 1414 (GLONASS),1982-100D
COSMOS 1415 (GLONASS),1982-100E
OPS 9794 (NAVSTAR 8),1983-072A
COSMOS 1490 (GLONASS),1983-084A
COSMOS 1491 (GLONASS),1983-084B
COSMOS 1492 (GLONASS),1983-084C
COSMOS 1519 (GLONASS),1983-127A
COSMOS 1520 (GLONASS),1983-127B
COSMOS 1521 (GLONASS),1983-127C
COSMOS 1554 (GLONASS),1984-047A
COSMOS 1555 (GLONASS),1984-047B
COSMOS 1556 (GLONASS),1984-047C
"NAVSTAR 9 (USA 1)",1984-059A
COSMOS 1593 (GLONASS),1984-095A
COSMOS 1594 (GLONASS),1984-095B
COSMOS 1595 (GLONASS),1984-095C
"NAVSTAR 10 (USA 5)",1984-097A
COSMOS 1650 (GLONASS),1985-037A
COSMOS 1651 (GLONASS),1985-037B
COSMOS 1652 (GLONASS),1985-037C
"NAVSTAR 11 (USA 10)",1985-093A
COSMOS 1710 (GLONASS),1985-118A
COSMOS 1711 (GLONASS),1985-118B
COSMOS 1712 (GLONASS),1985-118C
COSMOS 1778 (GLONASS),1986-071A
COSMOS 1779 (GLONASS),1986-071B
COSMOS 1780 (GLONASS),1986-071C
COSMOS 1883 (GLONASS),1987-079A
COSMOS 1884 (GLONASS),1987-079B
COSMOS 1885 (GLONASS),1987-079C
COSMOS 1946 (GLONASS),1988-043A
COSMOS 1947 (GLONASS),1988-043B
COSMOS 1948 (GLONASS),1988-043C
COSMOS 1970 (GLONASS),1988-085A
COSMOS 1971 (GLONASS),1988-085B
COSMOS 1972 (GLONASS),1988-085C
COSMOS 1987 (GLONASS),1989-001A
COSMOS 1988 (GLONASS),1989-001B
COSMOS 1989 (ETALON 1),1989-001C
"NAVSTAR 13 (USA 35)",1989-013A
COSMOS 2022 (GLONASS),1989-039A
COSMOS 2023 (GLONASS),1989-039B
COSMOS 2024 (ETALON 2),1989-039C
"NAVSTAR 14 (USA 38)",1989-044A
"NAVSTAR 15 (USA 42)",1989-064A
"NAVSTAR 16 (USA 47)",1989-085A
"NAVSTAR 17 (USA 49)",1989-097A
"NAVSTAR 18 (USA 50)",1990-008A
"NAVSTAR 19 (USA 54)",1990-025A
COSMOS 2079 (GLONASS),1990-045A
COSMOS 2080 (GLONASS),1990-045B
COSMOS 2081 (GLONASS),1990-045C
"NAVSTAR 20 (USA 63)",1990-068A
"NAVSTAR 21 (USA 64)",1990-088A
"NAVSTAR 22 (USA 66)",1990-103A
COSMOS 2109 (GLONASS),1990-110A
COSMOS 2110 (GLONASS),1990-110B
COSMOS 2111 (GLONASS),1990-110C
COSMOS 2139 (GLONASS),1991-025A
COSMOS 2140 (GLONASS),1991-025B
COSMOS 2141 (GLONASS),1991-025C
"NAVSTAR 23 (USA 71)",1991-047A
COSMOS 2177 (GLONASS),1992-005A
COSMOS 2178 (GLONASS),1992-005B
COSMOS 2179 (GLONASS),1992-005C
"NAVSTAR 24 (USA 79)",1992-009A
"NAVSTAR 25 (USA 80)",1992-019A
"NAVSTAR 26 (USA 83)",1992-039A
COSMOS 2206 (GLONASS),1992-047A
COSMOS 2204 (GLONASS),1992-047B
COSMOS 2205 (GLONASS),1992-047C
"NAVSTAR 27 (USA 84)",1992-058A
"NAVSTAR 28 (USA 85)",1992-079A
"NAVSTAR 29 (USA 87)",1992-089A
"NAVSTAR 30 (USA 88)",1993-007A
COSMOS 2234 (GLONASS),1993-010A
COSMOS 2236 (GLONASS),1993-010B
COSMOS 2235 (GLONASS),1993-010C
"NAVSTAR 31 (USA 90)",1993-017A
"NAVSTAR 32 (USA 91)",1993-032A
"NAVSTAR 33 (USA 92)",1993-042A
"NAVSTAR 34 (USA 94)",1993-054A
"NAVSTAR 35 (USA 96)",1993-068A
"NAVSTAR 36 (USA 100)",1994-016A
COSMOS 2276 (GLONASS),1994-021A
COSMOS 2277 (GLONASS),1994-021B
COSMOS 2275 (GLONASS),1994-021C
COSMOS 2287 (GLONASS),1994-050A
COSMOS 2289 (GLONASS),1994-050B
COSMOS 2288 (GLONASS),1994-050C
COSMOS 2295 (GLONASS),1994-076A
COSMOS 2296 (GLONASS),1994-076B
COSMOS 2294 (GLONASS),1994-076C
COSMOS 2307 (GLONASS),1995-009A
COSMOS 2308 (GLONASS),1995-009B
COSMOS 2309 (GLONASS),1995-009C
COSMOS 2316 (GLONASS),1995-037A
COSMOS 2317 (GLONASS),1995-037B
COSMOS 2318 (GLONASS),1995-037C
COSMOS 2325 (GLONASS),1995-068A
COSMOS 2324 (GLONASS),1995-068B
COSMOS 2323 (GLONASS),1995-068C
"NAVSTAR 37 (USA 117)",1996-019A
"NAVSTAR 38 (USA 126)",1996-041A
"NAVSTAR 39 (USA 128)",1996-056A
"NAVSTAR 43 (USA 132)",1997-035A
"NAVSTAR 44 (USA 135)",1997-067A
COSMOS 2364 (GLONASS),1998-077A
COSMOS 2363 (GLONASS),1998-077B
COSMOS 2362 (GLONASS),1998-077C
"NAVSTAR 46 (USA 145)",1999-055A
"NAVSTAR 47 (USA 150)",2000-025A
"NAVSTAR 48 (USA 151)",2000-040A
COSMOS 2375 (GLONASS),2000-063A
COSMOS 2376 (GLONASS),2000-063B
COSMOS 2374 (GLONASS),2000-063C
"NAVSTAR 49 (USA 154)",2000-071A
"NAVSTAR 50 (USA 156)",2001-004A
COSMOS 2382 (GLONASS),2001-053A
COSMOS 2381 (GLONASS),2001-053B
COSMOS 2380 (GLONASS),2001-053C
COSMOS 2394 (GLONASS),2002-060A
COSMOS 2396 (GLONASS),2002-060B
COSMOS 2395 (GLONASS),2002-060C
"NAVSTAR 51 (USA 166)",2003-005A
"NAVSTAR 52 (USA 168)",2003-010A
COSMOS 2404 (GLONASS),2003-056A
COSMOS 2402 (GLONASS),2003-056B
COSMOS 2403 (GLONASS),2003-056C
"NAVSTAR 53 (USA 175)",2003-058A
"NAVSTAR 54 (USA 177)",2004-009A
"NAVSTAR 55 (USA 178)",2004-023A
"NAVSTAR 56 (USA 180)",2004-045A
COSMOS 2413 (GLONASS),2004-053A
COSMOS 2411 (GLONASS),2004-053B
COSMOS 2412 (GLONASS),2004-053C
"NAVSTAR 57 (USA 183)",2005-038A
COSMOS 2419 (GLONASS),2005-050A
COSMOS 2418 (GLONASS),2005-050B
COSMOS 2417 (GLONASS),2005-050C
"NAVSTAR 58 (USA 190)",2006-042A
"NAVSTAR 59 (USA 192)",2006-052A
COSMOS 2425 (GLONASS),2006-062A
COSMOS 2426 (GLONASS),2006-062B
COSMOS 2424 (GLONASS),2006-062C
"NAVSTAR 60 (USA 196)",2007-047A
COSMOS 2433 (GLONASS),2007-052A
COSMOS 2432 (GLONASS),2007-052B
COSMOS 2431 (GLONASS),2007-052C
"NAVSTAR 61 (USA 199)",2007-062A
COSMOS 2434 (GLONASS),2007-065A
COSMOS 2435 (GLONASS),2007-065B
COSMOS 2436 (GLONASS),2007-065C
